,title,comment,rating,month,location,likes,dislikes,comment_no
0,,I am very happy with this product cheap and best product I am very surprise because of campus Indian company ....,5.0,1 month ago, Mysuru,4,0,0
1,,Running shoes so compratable,4.0,3 months ago, Purnia,17,7,1
2,,Very nice shoes. I' am satisfied... Thank you flipkartğŸ™‚ğŸ™‚ğŸ™‚,5.0,1 month ago, Bhopal,10,4,2
3,,"Awesome casual shoes for daily use
Extremely lightweight with soft insole and cushion. I recommend giving it a try ğŸ‘",5.0,1 month ago, Navi Mumbai,7,2,3
4,,"Good for regular use....
Prefer one size lesser",5.0,1 month ago, Bharuch,11,5,4
5,,Super,4.0,3 months ago, Bongaigaon,6,2,5
6,,Nice ğŸ˜ŠğŸ‘,5.0,26 days ago, Madikonda,4,0,6
7,,"nice go for it, keep one size smaller",4.0,2 months ago, Kundli,4,1,7
8,,Good quality and light wait and o time,5.0,25 days ago, New Delhi,2,1,8
9,,Bad quality,1.0,2 months ago, Surat,2,1,9
10,,Very poor quality.,1.0,1 month ago, Bokaro Steel City,1,0,10
11,,Best shoes love ğŸ˜ğŸ˜ğŸ˜ it,5.0,1 month ago, Lucknow,1,0,11
12,,Best ğŸ‘,4.0,1 month ago, Sitamau,1,0,12
13,,Nice shoes,5.0,2 months ago, Hyderabad,1,0,13
14,,Amazing product â˜ºï¸,5.0,3 months ago, New Delhi,1,0,14
15,,Super,5.0,3 months ago, Mumbai,1,0,15
16,,Nice Product,5.0,3 months ago, Katihar,0,0,16
17,,Good,3.0,3 months ago, Kamrup Metropolitan District,0,0,17
18,,Super,5.0,3 months ago, Narayanpet,0,0,18
19,,super,5.0,4 months ago, Habra,0,0,19
20,,Good ğŸ‘,4.0,4 months ago, Paralakhemundi,1,0,20
21,,Worth buy,5.0,4 months ago, Paduvilayi,0,0,21
